comparison,measure,n,r,mae,rmse,bias,max_abs,nan_mismatch
Maniscalco metacognitive bias,Phi-Ratio,44,1.0,4.560745720477206e-16,6.617166516594984e-16,-5.677276830469551e-18,1.9984014443252818e-15,0
Maniscalco metacognitive bias,ΔConf-Ratio,44,1.0,4.081331232570888e-16,6.124121112358526e-16,-8.200510977344907e-18,1.9984014443252818e-15,0
Maniscalco metacognitive bias,M-Diff,44,0.9999999985114085,2.3712248837351206e-05,4.1218095682549365e-05,2.948596477342358e-06,0.00019244636056936493,0
Maniscalco metacognitive bias,AUC2-Diff,44,1.0,1.3625464393126921e-16,2.0770370905276122e-16,-5.551115123125783e-17,8.881784197001252e-16,0
Maniscalco metacognitive bias,Gamma-Diff,44,1.0,2.510617976140979e-16,3.9722309576286504e-16,-9.71445146547012e-17,1.3322676295501878e-15,0
Maniscalco metacognitive bias,Phi-Diff,44,0.9999999999999999,1.9460443357776182e-16,3.014664289892453e-16,-4.888766159571002e-17,1.1657341758564144e-15,0
Maniscalco metacognitive bias,ΔConf-Diff,44,0.9999999999999997,3.936245269125555e-16,5.817245049702455e-16,-9.083642928751281e-17,1.7763568394002505e-15,0
Maniscalco metacognitive bias,meta-noise,44,1.0,0.0,0.0,0.0,0.0,0
Maniscalco metacognitive bias,meta-uncertainty,44,0.999822183382121,0.002667402380696075,0.01753073095732886,0.002628598294785359,0.1162852762861371,0
Maniscalco metacognitive bias,d',44,1.0,1.8167285857502563e-16,2.67795869548738e-16,-8.074349270001139e-17,4.440892098500626e-16,0
Maniscalco metacognitive bias,Criterion,44,1.0,7.317379025938531e-17,1.0111843135300426e-16,1.766263902812749e-17,2.220446049250313e-16,0
Maniscalco metacognitive bias,Confidence,44,1.0,0.0,0.0,0.0,0.0,0
Rouault1 difficulty,meta-d',932,0.9999999351279532,4.842685246948199e-05,0.00027707700829855675,1.0650055739954183e-05,0.00800271518300763,0
Rouault1 difficulty,AUC2,932,1.0,0.0,0.0,0.0,0.0,0
Rouault1 difficulty,Gamma,932,1.0,0.0,0.0,0.0,0.0,0
Rouault1 difficulty,Phi,932,0.9999999999999998,1.626768581549066e-17,3.267041682324282e-17,-3.9831633461270035e-19,2.220446049250313e-16,0
Rouault1 difficulty,ΔConf,932,1.0,0.0,0.0,0.0,0.0,0
Rouault1 difficulty,M-Ratio,912,0.9999999924601058,3.529352445219041e-05,7.268330273355094e-05,-2.118816904086399e-07,0.0009287916622575665,0
Rouault1 difficulty,AUC2-Ratio,932,1.0,1.6915415182057105e-16,2.4034970226549853e-16,-1.9059622740346035e-18,7.771561172376096e-16,0
Rouault1 difficulty,Gamma-Ratio,932,1.0,3.6504426389181385e-15,5.3796536631432245e-14,-3.4961378689552314e-16,1.326938559031987e-12,0
Rouault1 difficulty,Phi-Ratio,932,0.9999999999999999,1.7973335921623306e-15,1.5023095346603785e-14,-6.842367337958561e-16,4.0589753780295723e-13,0
